Date,open,high,low,close,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,HT_TRENDLINE,KAMA10,KAMA20,KAMA30,SAR,TRIMA5,TRIMA10,TRIMA20,ADX5,ADX10,ADX20,APO,CCI5,CCI10,CCI15,macd510,macd520,macd1020,macd1520,macd1226,MOM10,MOM15,MOM20,ROC5,ROC10,ROC20,PPO,RSI14,RSI8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ULTOSC,WILLR,ATR,Trange,TYPPRICE,HT_DCPERIOD,BETA
5-12-2022,16021.1,16041.95,15735.75,15808,15986.41,16037.325,16177.63667,16260.95,15917.88831,16025.68686,16075.41457,16096.86723,16418.38134,15986.41,15554.43866,16241.41696,16236.87148,16034.22072,15807.97541,17992.2,15962.01111,16072.32333,16279.33818,26.85755008,21.77286826,20.87798276,-96.81314103,-55.34230049,-82.58351082,-104.2942744,-107.798546,-178.9789131,-71.18041404,-21.46294441,-65.03390357,-362.15,-820,-670.1,-0.008855491,-2.239620535,-4.066609621,-0.598666399,42.35819962,38.50151374,10.9558773,32.7258645,10.8802048,10.9558773,6.964004943,14.78959206,44.64665254,-92.47199792,326.126051,306.2,15861.9,23.05612146,0.930135834
5-11-2022,16270.05,16318.75,15992.6,16167.1,15971.77,16051.455,16153.92667,16251.4925,16000.95888,16051.39834,16086.87525,16103.55606,16372.13598,15971.77,15571.40402,16252.11348,16236.07468,16035.56431,15816.56099,17992.2,15897.05,16052.91167,16239.96364,25.17046627,20.07821681,19.88596646,-143.2782051,86.0324848,38.82162672,0.888313146,-50.43946391,-102.5971865,-52.15776099,-16.68981525,-50.95580995,141.3,-355.65,-189.15,-0.45073059,0.881703254,-1.15643867,-0.884297634,50.96985509,53.01191753,30.43537624,24.65121702,73.98799314,30.43537624,94.54205697,38.46720106,45.60107992,-55.05600417,339.3134759,510.75,16159.48333,22.82689786,0.79800299
5-10-2022,16248.9,16404.55,16197.3,16240.05,15967.92,16062.945,16130.96,16242.6775,16080.65592,16085.69864,16106.0221,16116.55548,16357.37366,15967.92,15578.46634,16258.95217,16236.11396,16037.52703,15824.69955,17992.2,15933.87222,16025.70833,16204.63773,25.57037461,19.06961012,18.98955456,-158.5262821,106.7878337,78.35239835,60.48134375,-5.042724375,-35.89956776,-30.85687477,-10.54126877,-33.52589831,114.9,-344.5,-176.3,-0.118393781,0.712551511,-1.073929345,-0.97713625,52.52166722,55.45221636,53.42396869,31.60507408,75.40370813,53.42396869,100,67.1686873,47.95827728,-25.72354371,332.0375134,237.45,16280.63333,22.52846059,0.713371189
5-9-2022,16227.7,16403.7,16142.1,16301.85,16059.83,16071.66,16106.99,16229.2925,16154.38728,16124.99889,16130.50058,16134.20258,16500.81464,16059.83,15618.84536,16260.13065,16236.66263,16041.13434,15841.48141,17992.2,16075.71111,16009.35167,16172.75136,23.87108735,17.75103646,18.04252595,-157.4355769,70.96482273,78.28152399,79.73097053,29.38838958,20.18469651,-9.203718748,-3.708892461,-14.55800859,87.15,-359.55,-267.7,2.900778296,0.537475254,-1.615614184,-0.969104292,53.85413472,57.58492091,78.01194668,53.9570972,84.64413876,78.01194668,100,98.18068566,46.55384383,-16.62125341,327.0062624,261.6,16282.55,22.31921085,0.915278048
5-6-2022,16415.55,16484.2,16340.9,16411.25,16185.65,16086.17,16110.91,16220.64,16240.00819,16177.04455,16165.59426,16160.58805,16595.84097,16185.65,15775.45903,16257.98791,16238.69609,16044.63982,15865.98661,17992.2,16208.58889,16026.37833,16145.41,24.60845014,17.10142205,17.2846584,-158.088141,93.99489341,107.8596409,132.8609563,62.96364024,79.42013539,16.45647413,5.000177978,9.195842436,145.1,58.8,-173.05,3.986148909,0.89203653,-1.043456763,-0.971656169,56.1976721,61.33030322,83.43367894,71.6231981,90.25318993,83.43367894,100,100,42.37624214,-9.746810074,316.6736722,182.35,16412.11667,22.14307843,0.957870717
5-5-2022,16854.75,16945.7,16651.85,16682.65,16360.58,16173.495,16145.07667,16223.3725,16387.55546,16268.97281,16230.22623,16210.30824,16720.25512,16360.58,16000.90488,16257.26509,16293.77848,16048.15087,15907.87439,17992.2,16339.76667,16088.69333,16128.89955,32.08521481,18.88274046,17.29483001,-137.5865385,153.3304365,178.2986546,224.7844416,118.5826473,177.2472212,58.66455676,19.91271377,49.351756,873.25,512.5,54.65,5.532957996,5.523612534,0.328662497,-0.844687131,61.43075308,69.07308391,82.43263875,81.29275479,72.40058756,82.43263875,100,100,46.94138392,-21.74056779,332.2291242,534.45,16760.06667,21.91316621,0.596853968
5-4-2022,17096.6,17132.85,16623.95,16677.6,16462.68,16217.225,16188.53,16231.115,16484.23697,16343.26866,16286.14795,16254.81221,16834.32807,16462.68,16091.03193,16258.7955,16318.22509,16053.56432,15936.79305,17992.2,16457.82222,16168.07167,16123.80636,39.54259282,21.18392948,17.55333131,-110.9721154,91.08176556,142.5187789,185.5519953,140.9683088,229.424758,88.45643512,31.33111753,79.84767967,437.3,651.8,154.85,3.157647321,2.692684248,0.937192659,-0.68097201,61.2840383,68.78022176,72.23457988,79.36696585,54.04996215,72.23457988,98.35320055,99.45106685,44.29208002,-32.58535538,344.8484725,508.9,16811.46667,21.74524732,0.544301877
5-2-2022,16924.45,17092.25,16917.25,17069.1,16628.49,16298.205,16251.46,16255.3425,16679.19131,16475.238,16384.01696,16332.36343,17160.18102,16628.49,16096.79898,16268.645,16404.69789,16074.86103,15995.38512,17992.2,16621.84444,16277.525,16128.64273,45.50849522,23.25499959,17.79890754,-33.41442308,98.48517312,137.542536,192.4602849,203.9533176,346.8278831,142.874554,51.6494834,134.0613215,809.8,943.95,484.55,5.104971967,4.980534217,2.921695192,-0.204700688,67.72040978,77.30548275,73.3386768,76.00196514,93.5654807,73.3386768,100,99.45106685,51.47699076,-4.563023406,349.8342959,414.65,17026.2,22.10668631,0.285150298
4-29-2022,17329.25,17377.65,17053.25,17102.55,16788.63,16424.23,16310.65,16277.4,16820.31088,16589.29472,16473.83359,16405.71453,17312.60273,16788.63,16264.65727,16290.28468,16664.54199,16094.57585,16052.27989,17992.2,16783.34444,16414.31,16147.89273,52.21881434,26.0950704,18.39076929,12.0474359,107.219754,123.9648703,167.197288,231.0161517,414.5963433,183.5801822,68.11551728,177.6770088,1260.25,887.85,441.15,4.911712474,7.95496866,2.647736685,0.073684875,68.2067443,77.89490504,73.69353279,73.08892982,73.46515553,73.69353279,100,99.45106685,45.02315589,-16.75497899,348.0175605,324.4,17177.81667,23.10258749,0.041062561
4-28-2022,17189.5,17322.5,17071.05,17245.05,16955.39,16570.52,16375.91,16322.03,16961.89058,16708.52296,16570.23564,16485.65124,17420.1853,16955.39,16490.5947,16320.86446,16919.35971,16151.02043,16099.8533,17992.2,16966.14444,16563.57,16187.88818,57.58706964,28.65113412,18.95303796,68.2125,84.61790536,102.6048278,135.4231432,253.3676277,476.2393401,222.8717046,84.58129986,221.1915556,1462.9,978.9,892.6,5.080661132,9.269332759,5.458509275,0.416541356,70.26224967,80.37630658,83.14580979,76.72600646,82.40679315,83.14580979,100,100,48.67459385,-8.076009501,341.1198776,251.45,17212.86667,24.11233774,0.230966372
